script,amount_in_percentage_margin,leverage_margin,amount_in_percentage_co,leverage_margin_co
3MINDIA,20,5,12,8
AARTIIND,20,5,12,8
ABB,20,5,12,8
ABBOTINDIA,20,5,12,8
ABCAPITAL,20,5,12,8
ABFRL,20,5,12,8
ACC,8.35,12,5.01,20
ACCELYA,7.24,14,4.34,23
ADANIENT,27.5,4,16.5,6
ADANIGAS,20,5,12,8
ADANIPORTS,20,5,12,8
ADANIPOWER,13.58,7,8.15,12
AIAENG,20,5,12,8
AJANTPHARM,20,5,12,8
AKZOINDIA,20,5,12,8
ALKEM,20,5,12,8
AMARAJABAT,9.68,10,5.81,17
AMBER,20,5,12,8
AMBUJACEM,9.49,11,5.69,18
AMRUTANJAN,20,5,12,8
APLAPOLLO,23.75,4,14.25,7
APOLLOHOSP,20,5,12,8
APOLLOTYRE,20,5,12,8
ARVSMART,20,5,12,8
ASHOKA,20,5,12,8
ASHOKLEY,20,5,12,8
ASIANHOTNR,24.24,4,14.54,7
ASIANPAINT,8.43,12,5.06,20
ASTERDM,20,5,12,8
ASTRAL,20,5,12,8
ATUL,20,5,12,8
AUROPHARMA,20,5,12,8
AUTOAXLES,20,5,12,8
AVANTIFEED,20,5,12,8
AXISBANK,20,5,12,8
BAJAJ-AUTO,8.87,11,5.32,19
BAJAJCON,20,5,12,8
BAJAJELEC,20,5,12,8
BAJAJFINSV,20,5,12,8
BAJAJHLDNG,20,5,12,8
BAJFINANCE,20,5,12,8
BALKRISIND,20,5,12,8
BALMLAWRIE,20,5,12,8
BALRAMCHIN,20.36,5,12.21,8
BANCOINDIA,20,5,12,8
BANDHANBNK,22.49,4,13.49,7
BANKBARODA,21.35,5,12.81,8
BANKBEES,9.33,11,5.6,18
BANKINDIA,20,5,12,8
BATAINDIA,20,5,12,8
BAYERCROP,20,5,12,8
BBTC,20,5,12,8
BDL,20,5,12,8
BEL,20,5,12,8
BEML,20,5,12,8
BERGEPAINT,8.9,11,5.34,19
BHARATFORG,20,5,12,8
BHARTIARTL,20,5,12,8
BHEL,29.24,3,17.54,6
BIOCON,13.41,7,8.05,12
BOMDYEING,20,5,12,8
BOSCHLTD,11.19,9,6.71,15
BPCL,22.01,5,13.21,8
BRITANNIA,9.37,11,5.62,18
BSE,20,5,12,8
CADILAHC,9.15,11,5.49,18
CANBK,27.5,4,16.5,6
CANFINHOME,20,5,12,8
CARBORUNIV,20,5,12,8
CARERATING,20,5,12,8
CASTROLIND,20,5,12,8
CCL,20,5,12,8
CDSL,20,5,12,8
CEATLTD,20,5,12,8
CENTURYPLY,20,5,12,8
CENTURYTEX,13.21,8,7.93,13
CERA,20,5,12,8
CESC,9.31,11,5.59,18
CHAMBLFERT,20,5,12,8
CHENNPETRO,20,5,12,8
CHOLAFIN,20,5,12,8
CIPLA,9.29,11,5.57,18
COALINDIA,8.85,11,5.31,19
COCHINSHIP,20,5,12,8
COFORGE,23.45,4,14.07,7
COLPAL,8.27,12,4.96,20
CONCOR,20,5,12,8
COROMANDEL,20,5,12,8
COSMOFILMS,20,5,12,8
CRISIL,20,5,12,8
CROMPTON,20,5,12,8
CSBBANK,20,5,12,8
CUB,20,5,12,8
CUMMINSIND,10.37,10,6.22,16
CYIENT,20,5,12,8
DABUR,6.99,14,4.19,24
DALBHARAT,20,5,12,8
DBCORP,24.95,4,14.97,7
DCBBANK,20,5,12,8
DCMSHRIRAM,22.22,5,13.33,8
DEEPAKFERT,20,5,12,8
DEEPAKNTR,20,5,12,8
DIVISLAB,8.89,11,5.33,19
DLF,20,5,12,8
DMART,9.1,11,5.46,18
DREDGECORP,20,5,12,8
DRREDDY,8.18,12,4.91,20
EICHERMOT,10.54,9,6.32,16
EIDPARRY,20,5,12,8
ENDURANCE,20,5,12,8
ENGINERSIN,20,5,12,8
EQUITAS,15.35,7,9.21,11
ERIS,20,5,12,8
ESCORTS,27.5,4,16.5,6
EXIDEIND,8.79,11,5.27,19
FACT,23.42,4,14.05,7
FDC,20,5,12,8
FEDERALBNK,20,5,12,8
FIEMIND,20,5,12,8
FINEORG,20,5,12,8
FORCEMOT,20,5,12,8
FORTIS,20,5,12,8
GAIL,10.13,10,6.08,16
GALAXYSURF,20,5,12,8
GARFIBRES,20,5,12,8
GEPIL,20,5,12,8
GICHSGFIN,20,5,12,8
GILLETTE,20,5,12,8
GIPCL,20,5,12,8
